               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070944,            0.029722,            0.061436,             0.20113,              0.4404,              0.2313,             0.09424,            0.048592,            0.021397,              0.0557,           0.0033254,           0.0033254,            0.070072
                   1,            0.053451,            0.022467,            0.047738,             0.48544,             0.75669,             0.65054,             0.26934,            0.046249,            0.019668,            0.032341,           0.0066528,           0.0066528,            0.040066
                   2,            0.051301,            0.022091,            0.031159,             0.80613,             0.74254,             0.80185,             0.34891,            0.045716,            0.019658,            0.020564,           0.0099566,           0.0099566,            0.010036
                   3,            0.048398,            0.021961,            0.024992,             0.84985,             0.79685,             0.85091,             0.39155,            0.043878,            0.019252,            0.017468,           0.0099203,           0.0099203,           0.0099203
                   4,            0.045813,            0.021578,            0.022499,             0.86932,             0.76069,             0.83763,             0.39209,            0.043633,            0.019391,            0.018247,           0.0099203,           0.0099203,           0.0099203
                   5,            0.044653,            0.021157,            0.020214,             0.89763,             0.82233,             0.88066,             0.41594,            0.042157,            0.018934,            0.014369,           0.0098586,           0.0098586,           0.0098586
                   6,            0.044006,            0.021313,            0.018784,             0.87538,             0.75479,             0.83157,              0.3878,            0.043627,            0.019396,            0.018545,           0.0097798,           0.0097798,           0.0097798
                   7,            0.043653,            0.021229,            0.018014,             0.88876,             0.83179,             0.88336,             0.41796,            0.041883,            0.018798,            0.013629,            0.009684,            0.009684,            0.009684
                   8,            0.043125,            0.020951,            0.017376,             0.90353,               0.859,             0.90341,             0.44561,            0.040651,            0.018465,            0.012386,           0.0095717,           0.0095717,           0.0095717
                   9,            0.042715,            0.020763,            0.016577,             0.90037,             0.86166,             0.90336,             0.44374,            0.040948,            0.018546,            0.012136,           0.0094434,           0.0094434,           0.0094434
                  10,            0.042641,            0.020787,            0.016194,             0.90935,             0.86607,             0.91013,             0.44883,            0.040596,            0.018469,            0.011715,           0.0092995,           0.0092995,           0.0092995
                  11,            0.042055,            0.020676,            0.015613,             0.91261,             0.86622,             0.90905,             0.45244,            0.040452,            0.018467,            0.011347,           0.0091406,           0.0091406,           0.0091406
                  12,            0.041856,            0.020504,            0.015455,             0.90732,             0.86868,             0.90919,             0.45236,            0.040532,            0.018453,            0.011537,           0.0089673,           0.0089673,           0.0089673
                  13,            0.041681,            0.020625,            0.015317,              0.9084,             0.86179,             0.90887,             0.45043,            0.040372,            0.018385,            0.011668,           0.0087804,           0.0087804,           0.0087804
                  14,            0.041541,            0.020507,            0.014469,             0.91267,             0.87329,             0.91364,             0.45733,            0.040214,            0.018298,            0.011068,           0.0085805,           0.0085805,           0.0085805
                  15,            0.041024,            0.020559,              0.0143,             0.90702,             0.86764,             0.91006,             0.45492,            0.040294,            0.018403,            0.011813,           0.0083684,           0.0083684,           0.0083684
                  16,            0.041063,             0.02015,             0.01398,             0.91246,             0.88243,             0.91412,             0.45097,            0.040212,            0.018262,            0.010607,            0.008145,            0.008145,            0.008145
                  17,             0.04105,            0.020378,            0.013314,             0.90773,             0.88773,             0.91371,             0.45292,            0.040062,            0.018262,            0.010599,           0.0079112,           0.0079112,           0.0079112
                  18,             0.04045,            0.020133,            0.013092,             0.91007,             0.88566,             0.91472,             0.45392,            0.040229,            0.018357,            0.010914,           0.0076679,           0.0076679,           0.0076679
                  19,            0.040301,             0.02018,            0.012953,             0.91952,             0.88248,             0.92035,             0.46484,            0.039754,            0.018246,            0.010466,            0.007416,            0.007416,            0.007416
                  20,            0.040381,            0.020404,            0.012892,             0.91483,             0.88775,             0.91738,             0.45865,            0.039879,            0.018233,            0.010366,           0.0071566,           0.0071566,           0.0071566
                  21,            0.040004,            0.020176,            0.012565,             0.91564,             0.89198,             0.91961,             0.46547,             0.03993,            0.018231,            0.010151,           0.0068906,           0.0068906,           0.0068906
                  22,            0.039952,            0.020019,            0.011964,             0.91349,              0.8917,             0.91926,             0.46385,            0.039787,            0.018202,            0.010371,           0.0066191,           0.0066191,           0.0066191
                  23,            0.039732,            0.020069,            0.011822,             0.91251,             0.87645,             0.91224,             0.45833,            0.040125,            0.018433,            0.011001,           0.0063432,           0.0063432,           0.0063432
                  24,            0.039599,            0.019763,            0.011769,             0.91348,             0.89585,             0.92063,             0.46718,            0.039766,            0.018304,           0.0099863,            0.006064,            0.006064,            0.006064
                  25,            0.039497,            0.019921,             0.01149,             0.91788,             0.88762,             0.91599,             0.45892,            0.039956,            0.018293,            0.010432,           0.0057826,           0.0057826,           0.0057826
                  26,             0.03945,                0.02,            0.011588,             0.91811,             0.89796,             0.92471,             0.46876,            0.039635,            0.018186,           0.0097332,              0.0055,              0.0055,              0.0055
                  27,            0.039106,            0.019707,            0.010934,              0.9195,             0.89849,             0.92398,             0.46921,             0.03964,            0.018168,           0.0098061,           0.0052174,           0.0052174,           0.0052174
                  28,            0.039104,            0.019624,            0.011015,             0.91987,             0.89489,             0.92232,             0.46717,            0.039775,            0.018209,           0.0099393,            0.004936,            0.004936,            0.004936
                  29,            0.038691,             0.01977,            0.010657,              0.9203,               0.902,             0.92494,             0.46754,            0.039669,            0.018224,           0.0096716,           0.0046568,           0.0046568,           0.0046568
                  30,            0.038561,            0.019766,            0.010387,             0.92044,             0.90341,             0.92592,             0.46947,             0.03961,            0.018224,           0.0095674,           0.0043809,           0.0043809,           0.0043809
                  31,            0.038308,            0.019578,            0.010249,              0.9254,             0.89663,             0.92531,             0.46965,            0.039591,            0.018255,            0.009654,           0.0041094,           0.0041094,           0.0041094
                  32,            0.038121,            0.019511,            0.010029,             0.91481,             0.90215,             0.92232,             0.46933,            0.039594,            0.018297,            0.010044,           0.0038434,           0.0038434,           0.0038434
                  33,             0.03798,            0.019447,            0.010074,             0.91764,             0.89798,             0.92238,             0.46543,             0.03978,            0.018373,           0.0099009,            0.003584,            0.003584,            0.003584
                  34,             0.03769,            0.019615,           0.0099287,             0.92065,             0.90088,              0.9238,             0.46865,            0.039741,            0.018332,           0.0095236,           0.0033321,           0.0033321,           0.0033321
                  35,            0.037437,            0.019382,           0.0093443,             0.91768,             0.90575,             0.92284,             0.46619,            0.039735,            0.018325,             0.00965,           0.0030888,           0.0030888,           0.0030888
                  36,            0.037356,            0.019211,           0.0097325,             0.92191,             0.89746,             0.92287,             0.46669,            0.039851,             0.01832,           0.0096924,            0.002855,            0.002855,            0.002855
                  37,            0.037022,            0.019367,           0.0091166,             0.91578,             0.90419,             0.92083,             0.46404,            0.039981,            0.018378,           0.0095877,           0.0026316,           0.0026316,           0.0026316
                  38,            0.037073,            0.019338,            0.009201,             0.91996,             0.89703,             0.92071,             0.46273,            0.039988,            0.018505,           0.0097658,           0.0024195,           0.0024195,           0.0024195
                  39,             0.03681,            0.019191,           0.0089267,             0.91782,             0.90074,             0.91989,             0.46165,            0.040029,            0.018399,           0.0098208,           0.0022196,           0.0022196,           0.0022196
                  40,            0.036488,            0.019166,           0.0088171,             0.92063,               0.902,             0.92103,             0.45916,            0.040067,            0.018414,           0.0096004,           0.0020327,           0.0020327,           0.0020327
                  41,            0.036508,            0.019031,           0.0089678,             0.91937,             0.90127,             0.92032,             0.46052,             0.04018,            0.018483,           0.0095932,           0.0018594,           0.0018594,           0.0018594
                  42,            0.036317,            0.018998,           0.0086814,             0.91561,             0.90433,             0.91897,             0.45969,            0.040197,            0.018463,           0.0097533,           0.0017005,           0.0017005,           0.0017005
                  43,            0.035946,            0.018808,           0.0086555,             0.91653,             0.90358,              0.9196,             0.45924,            0.040257,            0.018545,           0.0098324,           0.0015566,           0.0015566,           0.0015566
                  44,            0.035859,            0.018904,           0.0085498,             0.91688,             0.90277,             0.91897,             0.45825,            0.040325,            0.018546,           0.0097962,           0.0014283,           0.0014283,           0.0014283
                  45,            0.035765,            0.018819,           0.0083551,             0.91611,             0.90374,             0.91915,             0.45787,            0.040339,             0.01857,            0.009724,            0.001316,            0.001316,            0.001316
                  46,            0.035477,            0.018852,           0.0081779,             0.91722,             0.90546,             0.91923,             0.45778,             0.04035,            0.018623,           0.0097997,           0.0012202,           0.0012202,           0.0012202
                  47,            0.035378,            0.018822,           0.0081848,             0.91629,             0.90467,             0.91819,             0.45733,            0.040422,            0.018639,           0.0098762,           0.0011414,           0.0011414,           0.0011414
                  48,            0.035028,            0.018623,           0.0080963,             0.91996,             0.90029,             0.91801,             0.45735,            0.040445,            0.018691,           0.0097951,           0.0010797,           0.0010797,           0.0010797
                  49,            0.035306,            0.018787,           0.0081983,             0.91551,             0.89933,             0.91503,             0.45342,            0.040535,            0.018712,            0.010079,           0.0010355,           0.0010355,           0.0010355
